## DECA's published weights, tier splits, labels and incompatibilities,
## for every enchantment this program also holds.
##
## Source: the "Equipment Rarity Public List" spreadsheet, read as CSV.
##   https://docs.google.com/spreadsheets/d/1lZRkY3kr0IFD6vKqfMqF56LlSy7rtNzf-w2JxBVAs9k
##
## Refresh with: node tools/fetch-deca.js --freeze
## The test suite compares against this copy, so it needs no network.
##
## A tiered enchantment is four rows in the sheet and one record here; the
## weight below is the sum of its tiers and the split their proportions.
##
## Format: Name|Weight|TierSplit|Labels|IncompatibleLabels

OnHit Heal|50000|0.35000 0.30000 0.20000 0.15000|ARMOR,HEAL,ONHIT,PROC,RECOVERY,RING,ROLLABLE|HEAL
OnHit Magic|50000|0.35000 0.30000 0.20000 0.15000|ARMOR,MAGIC,ONHIT,PROC,RECOVERY,RING,ROLLABLE|MAGIC
OnHit Retaliation|50000|0.35000 0.30000 0.20000 0.15000|ARMOR,BULLETCREATE,DAMAGE,ONHIT,PROC,RING,ROLLABLE|BULLETCREATE
OnHit Vitality Boost|100000|0.35000 0.30000 0.20000 0.15000|ARMOR,ONHIT,ONHITSTAT,PROC,PROCVITALITY,RING,ROLLABLE,STATBOOST,VITALITY|ONHITSTAT,PROCVITALITY
OnHit Wisdom Boost|100000|0.35000 0.30000 0.20000 0.15000|ARMOR,ONHIT,ONHITSTAT,PROC,PROCWISDOM,RING,ROLLABLE,STATBOOST,WISDOM|ONHITSTAT,PROCWISDOM
OnShoot Attack Boost|50000|0.35000 0.30000 0.20000 0.15000|ATTACK,ONSHOOT,ONSHOOTSTAT,PROC,PROCATTACK,RING,ROLLABLE,STATBOOST,WEAPON|ONSHOOTSTAT,PROCATTACK
OnShoot Defense Boost|50000|0.35000 0.30000 0.20000 0.15000|DEFENSE,ONSHOOT,ONSHOOTSTAT,PROC,PROCDEFENSE,RING,ROLLABLE,STATBOOST,WEAPON|ONSHOOTSTAT,PROCDEFENSE
OnShoot Dexterity Boost|50000|0.35000 0.30000 0.20000 0.15000|DEXTERITY,ONSHOOT,ONSHOOTSTAT,PROC,PROCDEXTERITY,RING,ROLLABLE,STATBOOST,WEAPON|ONSHOOTSTAT,PROCDEXTERITY
OnShoot Heal|50000|0.35000 0.30000 0.20000 0.15000|HEAL,ONSHOOT,PROC,RECOVERY,RING,ROLLABLE,WEAPON|HEAL
OnShoot Magic|50000|0.35000 0.30000 0.20000 0.15000|MAGIC,ONSHOOT,PROC,RECOVERY,RING,ROLLABLE,WEAPON|MAGIC
OnShoot Vitality Boost|50000|0.35000 0.30000 0.20000 0.15000|ONSHOOT,ONSHOOTSTAT,PROC,PROCVITALITY,RING,ROLLABLE,STATBOOST,VITALITY,WEAPON|ONSHOOTSTAT,PROCVITALITY
OnShoot Wisdom Boost|50000|0.35000 0.30000 0.20000 0.15000|ONSHOOT,ONSHOOTSTAT,PROC,PROCWISDOM,RING,ROLLABLE,STATBOOST,WEAPON,WISDOM|ONSHOOTSTAT,PROCWISDOM
Overwhelming Strikes|2000||DAMAGE,ROLLABLE,TRADEOFF,UNIQUE,WEAPON,WEAPONDAMAGE|UNIQUE,WEAPONDAMAGE,WEAPONFIRERATE
Percentage Life Regeneration|200000|0.35000 0.30000 0.20000 0.15000|ARMOR,LIFEREGEN,PERCENTAGEREGEN,RECOVERY,ROLLABLE|LIFEREGEN
Percentage Mana Regeneration|200000|0.35000 0.30000 0.20000 0.15000|ARMOR,MANAREGEN,PERCENTAGEREGEN,RECOVERY,ROLLABLE|MANAREGEN
Projectile Lifetime Bonus|100000|0.35000 0.30000 0.20000 0.15000|LIFETIME,ROLLABLE,WEAPON,WEAPONRANGE|WEAPONRANGE
Projectile Speed Bonus|100000|0.35000 0.30000 0.20000 0.15000|PROJSPEED,ROLLABLE,WEAPON,WEAPONRANGE|WEAPONRANGE
Raijin's Dance|7500||AWAKENED,ROLLABLE|AWAKENED
Relative Attack Bonus|52000|0.33654 0.32692 0.19231 0.14423|ATTACK,RELATIVEBONUS,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Relative Defense Bonus|52000|0.33654 0.32692 0.19231 0.14423|DEFENSE,RELATIVEBONUS,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Relative Dexterity Bonus|52000|0.33654 0.32692 0.19231 0.14423|DEXTERITY,RELATIVEBONUS,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Relative Life Bonus|52000|0.33654 0.32692 0.19231 0.14423|LIFE,RELATIVEBONUS,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Relative Mana Bonus|52000|0.33654 0.32692 0.19231 0.14423|MANA,RELATIVEBONUS,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Relative Speed Bonus|52000|0.33654 0.32692 0.19231 0.14423|RELATIVEBONUS,ROLLABLE,SINGLESTAT,SPEED,STAT|SINGLESTAT
Relative Vitality Bonus|52000|0.33654 0.32692 0.19231 0.14423|RELATIVEBONUS,ROLLABLE,SINGLESTAT,STAT,VITALITY|SINGLESTAT
Relative Wisdom Bonus|52000|0.33654 0.32692 0.19231 0.14423|RELATIVEBONUS,ROLLABLE,SINGLESTAT,STAT,WISDOM|SINGLESTAT
Sandstone Resilience|2000||DEFENSE,FLATBONUS,ROLLABLE,SINGLESTAT,STAT,UNIQUE|SINGLESTAT,UNIQUE
Shaitan's Might|2000||ATTACK,FLATBONUS,ROLLABLE,SINGLESTAT,STAT,UNIQUE|SINGLESTAT,UNIQUE
Soulful Mastery|7500||AWAKENED,ROLLABLE,WEAPONDAMAGE,WEAPONFIRERATE,WEAPONRANGE|AWAKENED,WEAPONDAMAGE,WEAPONFIRERATE,WEAPONRANGE
Speed -Attack Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|ATTACK,DUALSTAT,ROLLABLE,SPEED,STAT,TRADEOFF|DUALSTAT
Speed -Defense Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DEFENSE,DUALSTAT,ROLLABLE,SPEED,STAT,TRADEOFF|DUALSTAT
Speed -Dexterity Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DEXTERITY,DUALSTAT,ROLLABLE,SPEED,STAT,TRADEOFF|DUALSTAT
Speed -Life Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DUALSTAT,LIFE,ROLLABLE,SPEED,STAT,TRADEOFF|DUALSTAT
Speed -Mana Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DUALSTAT,MANA,ROLLABLE,SPEED,STAT,TRADEOFF|DUALSTAT
Speed -Vitality Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DUALSTAT,ROLLABLE,SPEED,STAT,TRADEOFF,VITALITY|DUALSTAT
Speed -Wisdom Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DUALSTAT,ROLLABLE,SPEED,STAT,TRADEOFF,WISDOM|DUALSTAT
Speed Bonus|100000|0.35000 0.30000 0.20000 0.15000|FLATBONUS,ROLLABLE,SINGLESTAT,SPEED,STAT|SINGLESTAT
Speed and Vitality Bonus|50000|0.35000 0.30000 0.20000 0.15000|DUALSTAT,FLATBONUS,ROLLABLE,SPEED,STAT,VITALITY|DUALSTAT
Speed and Wisdom Bonus|50000|0.35000 0.30000 0.20000 0.15000|DUALSTAT,FLATBONUS,ROLLABLE,SPEED,STAT,WISDOM|DUALSTAT
Speed to Attack Bonus|12000|0.36458 0.31250 0.20833 0.11458|ATTACK,CONVERSIONBONUS,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Speed to Defense Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,DEFENSE,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Speed to Dexterity Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,DEXTERITY,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Speed to Life Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,LIFE,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Speed to Mana Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,MANA,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Speed to Vitality Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,ROLLABLE,SINGLESTAT,STAT,VITALITY|SINGLESTAT
Speed to Wisdom Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,ROLLABLE,SINGLESTAT,STAT,WISDOM|SINGLESTAT
Stat Mod Multiplier|200000|0.35000 0.30000 0.20000 0.15000|ABILITY,CASTING,ROLLABLE,STATMODMULT|MPCOSTREDUCTION,STATMODMULT
Stheno's Swiftness|2000||FLATBONUS,ROLLABLE,SINGLESTAT,SPEED,STAT,UNIQUE|SINGLESTAT,UNIQUE
Swarm Tree's Wrath|7500||AWAKENED,ROLLABLE,WEAPONDAMAGE,WEAPONFIRERATE,WEAPONRANGE|AWAKENED,WEAPONDAMAGE,WEAPONFIRERATE,WEAPONRANGE
The King's Treasure|7500||AWAKENED,ONSHOOTSTAT,PROCATTACK,PROCDEXTERITY,ROLLABLE|AWAKENED,ONSHOOTSTAT,PROCATTACK,PROCDEXTERITY
Thornswarm|7500||AWAKENED,ROLLABLE,WEAPONDAMAGE,WEAPONFIRERATE,WEAPONRANGE|AWAKENED,WEAPONDAMAGE,WEAPONFIRERATE,WEAPONRANGE
Unholy Spirits|2000||DAMAGE,ROLLABLE,SUMMON,TRADEOFF,UNIQUE,WEAPON,WEAPONFIRERATE|SUMMON,UNIQUE,WEAPONDAMAGE,WEAPONFIRERATE
Venom Coating|7500||AWAKENED,ROLLABLE,WEAPONDAMAGE,WEAPONFIRERATE,WEAPONRANGE|AWAKENED,WEAPONDAMAGE,WEAPONFIRERATE,WEAPONRANGE
Vitality -Attack Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|ATTACK,DUALSTAT,ROLLABLE,STAT,TRADEOFF,VITALITY|DUALSTAT
Vitality -Dexterity Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DEXTERITY,DUALSTAT,ROLLABLE,STAT,TRADEOFF,VITALITY|DUALSTAT
Vitality -Life Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DUALSTAT,LIFE,ROLLABLE,STAT,TRADEOFF,VITALITY|DUALSTAT
Vitality -Mana Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DUALSTAT,MANA,ROLLABLE,STAT,TRADEOFF,VITALITY|DUALSTAT
Vitality -Speed Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DUALSTAT,ROLLABLE,SPEED,STAT,TRADEOFF,VITALITY|DUALSTAT
Vitality -Wisdom Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DUALSTAT,ROLLABLE,STAT,TRADEOFF,VITALITY,WISDOM|DUALSTAT
Vitality Bonus|100000|0.35000 0.30000 0.20000 0.15000|FLATBONUS,ROLLABLE,SINGLESTAT,STAT,VITALITY|SINGLESTAT
Vitality and Wisdom Bonus|50000|0.35000 0.30000 0.20000 0.15000|DUALSTAT,FLATBONUS,ROLLABLE,STAT,VITALITY,WISDOM|DUALSTAT
Vitality to Attack Bonus|12000|0.36458 0.31250 0.20833 0.11458|ATTACK,CONVERSIONBONUS,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Vitality to Defense Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,DEFENSE,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Vitality to Dexterity Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,DEXTERITY,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Vitality to Life Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,LIFE,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Vitality to Mana Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,MANA,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Vitality to Speed Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,ROLLABLE,SINGLESTAT,SPEED,STAT|SINGLESTAT
Vitality to Wisdom Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,ROLLABLE,SINGLESTAT,STAT,WISDOM|SINGLESTAT
Wisdom -Attack Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|ATTACK,DUALSTAT,ROLLABLE,STAT,TRADEOFF,WISDOM|DUALSTAT
Wisdom -Defense Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DEFENSE,DUALSTAT,ROLLABLE,STAT,TRADEOFF,WISDOM|DUALSTAT
Wisdom -Life Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DUALSTAT,LIFE,ROLLABLE,STAT,TRADEOFF,WISDOM|DUALSTAT
Wisdom -Mana Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DUALSTAT,MANA,ROLLABLE,STAT,TRADEOFF,WISDOM|DUALSTAT
Wisdom -Speed Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DUALSTAT,ROLLABLE,SPEED,STAT,TRADEOFF,WISDOM|DUALSTAT
Wisdom -Vitality Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DUALSTAT,ROLLABLE,STAT,TRADEOFF,VITALITY,WISDOM|DUALSTAT
Wisdom Bonus|100000|0.35000 0.30000 0.20000 0.15000|FLATBONUS,ROLLABLE,SINGLESTAT,STAT,WISDOM|SINGLESTAT
Wisdom to Attack Bonus|12000|0.36458 0.31250 0.20833 0.11458|ATTACK,CONVERSIONBONUS,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Wisdom to Defense Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,DEFENSE,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Wisdom to Dexterity Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,DEXTERITY,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Wisdom to Life Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,LIFE,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Wisdom to Mana Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,MANA,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Wisdom to Speed Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,ROLLABLE,SINGLESTAT,SPEED,STAT|SINGLESTAT
Wisdom to Vitality Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,ROLLABLE,SINGLESTAT,STAT,VITALITY|SINGLESTAT
XP Bonus|200000|0.35000 0.30000 0.20000 0.15000|REWARD,REWARDBONUS,ROLLABLE,XP|REWARDBONUS
XP Dust Bonus|200000|0.35000 0.30000 0.20000 0.15000|DUALREWARDBONUS,DUST,REWARD,ROLLABLE,XP|DUALREWARDBONUS
XP Loot Bonus|200000|0.35000 0.30000 0.20000 0.15000|DUALREWARDBONUS,LOOT,REWARD,ROLLABLE,XP|DUALREWARDBONUS
